source,target,weight,first_year,last_year
Atik Wintarti,Wiyli Yustanti,1,2021,2021
Asmunin,Naim Rochmawati,1,2021,2021
Naim Rochmawati,Ricky Eka Putra,2,2018,2021
Asmunin,Wiyli Yustanti,1,2021,2021
Asmunin,Ricky Eka Putra,2,2020,2021
Puput Wanarti Rusimamto,Yeni Anistyasari,1,2021,2021
Lilik Anifah,Yeni Anistyasari,1,2021,2021
Endryansyah,Yeni Anistyasari,1,2021,2021
Ari Kurniawan,Yeni Anistyasari,2,2018,2021
Bambang Suprianto,Tri Wrahatnolo,1,2021,2021
Bambang Suprianto,Subuh Isnur Haryudo,1,2021,2021
Aditya Chandra Hermawan,Subuh Isnur Haryudo,1,2021,2021
Puput Wanarti Rusimamto,Tri Rijanto,1,2021,2021
Nurhayati,Tri Rijanto,1,2021,2021
Bambang Suprianto,Joko,1,2021,2021
Joko,Widi Aribowo,1,2021,2021
Bambang Suprianto,Miftahur Rohman,2,2021,2021
Lilik Anifah,Miftahur Rohman,1,2021,2021
I Gusti Putu Asto Buditjahjanto,Miftahur Rohman,1,2021,2021
Bambang Suprianto,I Gusti Putu Asto Buditjahjanto,1,2021,2021
Mahendra Widyartono,Miftahur Rohman,1,2021,2021
Joko,Tri Rijanto,1,2021,2021
Anita Qoiriah,Puput Wanarti Rusimamto,1,2020,2020
Naim Rochmawati,Puput Wanarti Rusimamto,2,2018,2020
Puput Wanarti Rusimamto,Yuni Yamasari,2,2018,2020
Puput Wanarti Rusimamto,Wiyli Yustanti,1,2020,2020
Agus Prihanto,Asmunin,1,2020,2020
Agus Prihanto,Ricky Eka Putra,1,2020,2020
Aries Dwi Indriyanti,Rindu Puspita Wibawa,1,2020,2020
Aries Dwi Indriyanti,Bambang Sujatmiko,2,2019,2020
